Link,Title,string,url,css_string
almotriptan-2.html, Almotriptan ,almotriptan-2,https://bnf.nice.org.uk/interaction/almotriptan-2.html,#almotriptan-2 .interactant span
alogliptin-2.html, Alogliptin ,alogliptin-2,https://bnf.nice.org.uk/interaction/alogliptin-2.html,#alogliptin-2 .interactant span
alpha-tocopherol-2.html, Alpha tocopherol ,alpha-tocopherol-2,https://bnf.nice.org.uk/interaction/alpha-tocopherol-2.html,#alpha-tocopherol-2 .interactant span
alpha-tocopheryl-acetate-2.html, Alpha tocopheryl acetate ,alpha-tocopheryl-acetate-2,https://bnf.nice.org.uk/interaction/alpha-tocopheryl-acetate-2.html,#alpha-tocopheryl-acetate-2 .interactant span
alprazolam-2.html, Alprazolam ,alprazolam-2,https://bnf.nice.org.uk/interaction/alprazolam-2.html,#alprazolam-2 .interactant span
alprostadil-2.html, Alprostadil ,alprostadil-2,https://bnf.nice.org.uk/interaction/alprostadil-2.html,#alprostadil-2 .interactant span
alteplase-2.html, Alteplase ,alteplase-2,https://bnf.nice.org.uk/interaction/alteplase-2.html,#alteplase-2 .interactant span
aluminium-hydroxide-2.html, Aluminium hydroxide ,aluminium-hydroxide-2,https://bnf.nice.org.uk/interaction/aluminium-hydroxide-2.html,#aluminium-hydroxide-2 .interactant span
amantadine.html, Amantadine ,amantadine,https://bnf.nice.org.uk/interaction/amantadine.html,#amantadine .interactant span
ambrisentan-2.html, Ambrisentan ,ambrisentan-2,https://bnf.nice.org.uk/interaction/ambrisentan-2.html,#ambrisentan-2 .interactant span
amifampridine-2.html, Amifampridine ,amifampridine-2,https://bnf.nice.org.uk/interaction/amifampridine-2.html,#amifampridine-2 .interactant span
amikacin-2.html, Amikacin ,amikacin-2,https://bnf.nice.org.uk/interaction/amikacin-2.html,#amikacin-2 .interactant span
amiloride.html, Amiloride ,amiloride,https://bnf.nice.org.uk/interaction/amiloride.html,#amiloride .interactant span
aminophylline-2.html, Aminophylline ,aminophylline-2,https://bnf.nice.org.uk/interaction/aminophylline-2.html,#aminophylline-2 .interactant span
aminosalicylic-acid-2.html, Aminosalicylic acid ,aminosalicylic-acid-2,https://bnf.nice.org.uk/interaction/aminosalicylic-acid-2.html,#aminosalicylic-acid-2 .interactant span
amiodarone.html, Amiodarone ,amiodarone,https://bnf.nice.org.uk/interaction/amiodarone.html,#amiodarone .interactant span
amisulpride-2.html, Amisulpride ,amisulpride-2,https://bnf.nice.org.uk/interaction/amisulpride-2.html,#amisulpride-2 .interactant span
amitriptyline.html, Amitriptyline ,amitriptyline,https://bnf.nice.org.uk/interaction/amitriptyline.html,#amitriptyline .interactant span
amlodipine-2.html, Amlodipine ,amlodipine-2,https://bnf.nice.org.uk/interaction/amlodipine-2.html,#amlodipine-2 .interactant span
amoxicillin-2.html, Amoxicillin ,amoxicillin-2,https://bnf.nice.org.uk/interaction/amoxicillin-2.html,#amoxicillin-2 .interactant span
amphotericin-2.html, Amphotericin ,amphotericin-2,https://bnf.nice.org.uk/interaction/amphotericin-2.html,#amphotericin-2 .interactant span
ampicillin-2.html, Ampicillin ,ampicillin-2,https://bnf.nice.org.uk/interaction/ampicillin-2.html,#ampicillin-2 .interactant span
amsacrine-2.html, Amsacrine ,amsacrine-2,https://bnf.nice.org.uk/interaction/amsacrine-2.html,#amsacrine-2 .interactant span
anagrelide-2.html, Anagrelide ,anagrelide-2,https://bnf.nice.org.uk/interaction/anagrelide-2.html,#anagrelide-2 .interactant span
anakinra-2.html, Anakinra ,anakinra-2,https://bnf.nice.org.uk/interaction/anakinra-2.html,#anakinra-2 .interactant span
antazoline.html, Antazoline ,antazoline,https://bnf.nice.org.uk/interaction/antazoline.html,#antazoline .interactant span
anti-d-rh0-immunoglobulin-2.html, Anti-D (Rh0) immunoglobulin ,anti-d-rh0-immunoglobulin-2,https://bnf.nice.org.uk/interaction/anti-d-rh0-immunoglobulin-2.html,#anti-d-rh0-immunoglobulin-2 .interactant span
antithymocyte-immunoglobulin-rabbit-2.html, Antithymocyte immunoglobulin (rabbit) ,antithymocyte-immunoglobulin-rabbit-2,https://bnf.nice.org.uk/interaction/antithymocyte-immunoglobulin-rabbit-2.html,#antithymocyte-immunoglobulin-rabbit-2 .interactant span
apixaban-2.html, Apixaban ,apixaban-2,https://bnf.nice.org.uk/interaction/apixaban-2.html,#apixaban-2 .interactant span
apomorphine.html, Apomorphine ,apomorphine,https://bnf.nice.org.uk/interaction/apomorphine.html,#apomorphine .interactant span
apraclonidine-2.html, Apraclonidine ,apraclonidine-2,https://bnf.nice.org.uk/interaction/apraclonidine-2.html,#apraclonidine-2 .interactant span
apremilast-2.html, Apremilast ,apremilast-2,https://bnf.nice.org.uk/interaction/apremilast-2.html,#apremilast-2 .interactant span
aprepitant-2.html, Aprepitant ,aprepitant-2,https://bnf.nice.org.uk/interaction/aprepitant-2.html,#aprepitant-2 .interactant span
argatroban.html, Argatroban ,argatroban,https://bnf.nice.org.uk/interaction/argatroban.html,#argatroban .interactant span
aripiprazole-2.html, Aripiprazole ,aripiprazole-2,https://bnf.nice.org.uk/interaction/aripiprazole-2.html,#aripiprazole-2 .interactant span
arsenic-trioxide-2.html, Arsenic trioxide ,arsenic-trioxide-2,https://bnf.nice.org.uk/interaction/arsenic-trioxide-2.html,#arsenic-trioxide-2 .interactant span
artemether.html, Artemether ,artemether,https://bnf.nice.org.uk/interaction/artemether.html,#artemether .interactant span
artenimol.html, Artenimol ,artenimol,https://bnf.nice.org.uk/interaction/artenimol.html,#artenimol .interactant span
articaine.html, Articaine ,articaine,https://bnf.nice.org.uk/interaction/articaine.html,#articaine .interactant span
ascorbic-acid-2.html, Ascorbic acid ,ascorbic-acid-2,https://bnf.nice.org.uk/interaction/ascorbic-acid-2.html,#ascorbic-acid-2 .interactant span
asenapine-2.html, Asenapine ,asenapine-2,https://bnf.nice.org.uk/interaction/asenapine-2.html,#asenapine-2 .interactant span
asparaginase-2.html, Asparaginase ,asparaginase-2,https://bnf.nice.org.uk/interaction/asparaginase-2.html,#asparaginase-2 .interactant span
aspirin-2.html, Aspirin ,aspirin-2,https://bnf.nice.org.uk/interaction/aspirin-2.html,#aspirin-2 .interactant span
ataluren-2.html, Ataluren ,ataluren-2,https://bnf.nice.org.uk/interaction/ataluren-2.html,#ataluren-2 .interactant span
atazanavir-2.html, Atazanavir ,atazanavir-2,https://bnf.nice.org.uk/interaction/atazanavir-2.html,#atazanavir-2 .interactant span
atenolol-2.html, Atenolol ,atenolol-2,https://bnf.nice.org.uk/interaction/atenolol-2.html,#atenolol-2 .interactant span
atezolizumab-2.html, Atezolizumab ,atezolizumab-2,https://bnf.nice.org.uk/interaction/atezolizumab-2.html,#atezolizumab-2 .interactant span
atomoxetine-2.html, Atomoxetine ,atomoxetine-2,https://bnf.nice.org.uk/interaction/atomoxetine-2.html,#atomoxetine-2 .interactant span
atorvastatin-2.html, Atorvastatin ,atorvastatin-2,https://bnf.nice.org.uk/interaction/atorvastatin-2.html,#atorvastatin-2 .interactant span
atovaquone-2.html, Atovaquone ,atovaquone-2,https://bnf.nice.org.uk/interaction/atovaquone-2.html,#atovaquone-2 .interactant span
atracurium.html, Atracurium ,atracurium,https://bnf.nice.org.uk/interaction/atracurium.html,#atracurium .interactant span
atropine.html, Atropine ,atropine,https://bnf.nice.org.uk/interaction/atropine.html,#atropine .interactant span
avanafil-2.html, Avanafil ,avanafil-2,https://bnf.nice.org.uk/interaction/avanafil-2.html,#avanafil-2 .interactant span
avelumab-2.html, Avelumab ,avelumab-2,https://bnf.nice.org.uk/interaction/avelumab-2.html,#avelumab-2 .interactant span
axitinib-2.html, Axitinib ,axitinib-2,https://bnf.nice.org.uk/interaction/axitinib-2.html,#axitinib-2 .interactant span
azacitidine-2.html, Azacitidine ,azacitidine-2,https://bnf.nice.org.uk/interaction/azacitidine-2.html,#azacitidine-2 .interactant span
azathioprine-2.html, Azathioprine ,azathioprine-2,https://bnf.nice.org.uk/interaction/azathioprine-2.html,#azathioprine-2 .interactant span
azelastine.html, Azelastine ,azelastine,https://bnf.nice.org.uk/interaction/azelastine.html,#azelastine .interactant span
azilsartan.html, Azilsartan ,azilsartan,https://bnf.nice.org.uk/interaction/azilsartan.html,#azilsartan .interactant span
azithromycin-2.html, Azithromycin ,azithromycin-2,https://bnf.nice.org.uk/interaction/azithromycin-2.html,#azithromycin-2 .interactant span
bacillus-calmette-gu%C3%A9rin-vaccine-2.html, Bacillus Calmette-Guérin vaccine ,bacillus-calmette-gu%C3%A9rin-vaccine-2,https://bnf.nice.org.uk/interaction/bacillus-calmette-gu%C3%A9rin-vaccine-2.html,#bacillus-calmette-gu%C3%A9rin-vaccine-2 .interactant span
bacitracin.html, Bacitracin ,bacitracin,https://bnf.nice.org.uk/interaction/bacitracin.html,#bacitracin .interactant span
baclofen-2.html, Baclofen ,baclofen-2,https://bnf.nice.org.uk/interaction/baclofen-2.html,#baclofen-2 .interactant span
balsalazide.html, Balsalazide ,balsalazide,https://bnf.nice.org.uk/interaction/balsalazide.html,#balsalazide .interactant span
bambuterol.html, Bambuterol ,bambuterol,https://bnf.nice.org.uk/interaction/bambuterol.html,#bambuterol .interactant span
baricitinib-2.html, Baricitinib ,baricitinib-2,https://bnf.nice.org.uk/interaction/baricitinib-2.html,#baricitinib-2 .interactant span
basiliximab-2.html, Basiliximab ,basiliximab-2,https://bnf.nice.org.uk/interaction/basiliximab-2.html,#basiliximab-2 .interactant span
bazedoxifene.html, Bazedoxifene ,bazedoxifene,https://bnf.nice.org.uk/interaction/bazedoxifene.html,#bazedoxifene .interactant span
beclometasone.html, Beclometasone ,beclometasone,https://bnf.nice.org.uk/interaction/beclometasone.html,#beclometasone .interactant span
bedaquiline-2.html, Bedaquiline ,bedaquiline-2,https://bnf.nice.org.uk/interaction/bedaquiline-2.html,#bedaquiline-2 .interactant span
belatacept-2.html, Belatacept ,belatacept-2,https://bnf.nice.org.uk/interaction/belatacept-2.html,#belatacept-2 .interactant span
belimumab-2.html, Belimumab ,belimumab-2,https://bnf.nice.org.uk/interaction/belimumab-2.html,#belimumab-2 .interactant span
bendamustine.html, Bendamustine ,bendamustine,https://bnf.nice.org.uk/interaction/bendamustine.html,#bendamustine .interactant span
bendroflumethiazide-2.html, Bendroflumethiazide ,bendroflumethiazide-2,https://bnf.nice.org.uk/interaction/bendroflumethiazide-2.html,#bendroflumethiazide-2 .interactant span
benperidol-2.html, Benperidol ,benperidol-2,https://bnf.nice.org.uk/interaction/benperidol-2.html,#benperidol-2 .interactant span
benralizumab-2.html, Benralizumab ,benralizumab-2,https://bnf.nice.org.uk/interaction/benralizumab-2.html,#benralizumab-2 .interactant span
benzydamine.html, Benzydamine ,benzydamine,https://bnf.nice.org.uk/interaction/benzydamine.html,#benzydamine .interactant span
benzylpenicillin.html, Benzylpenicillin ,benzylpenicillin,https://bnf.nice.org.uk/interaction/benzylpenicillin.html,#benzylpenicillin .interactant span
betahistine.html, Betahistine ,betahistine,https://bnf.nice.org.uk/interaction/betahistine.html,#betahistine .interactant span
betamethasone-2.html, Betamethasone ,betamethasone-2,https://bnf.nice.org.uk/interaction/betamethasone-2.html,#betamethasone-2 .interactant span
betaxolol-2.html, Betaxolol ,betaxolol-2,https://bnf.nice.org.uk/interaction/betaxolol-2.html,#betaxolol-2 .interactant span
bevacizumab-2.html, Bevacizumab ,bevacizumab-2,https://bnf.nice.org.uk/interaction/bevacizumab-2.html,#bevacizumab-2 .interactant span
bexarotene-2.html, Bexarotene ,bexarotene-2,https://bnf.nice.org.uk/interaction/bexarotene-2.html,#bexarotene-2 .interactant span
bezafibrate-2.html, Bezafibrate ,bezafibrate-2,https://bnf.nice.org.uk/interaction/bezafibrate-2.html,#bezafibrate-2 .interactant span
bicalutamide-2.html, Bicalutamide ,bicalutamide-2,https://bnf.nice.org.uk/interaction/bicalutamide-2.html,#bicalutamide-2 .interactant span
bictegravir.html, Bictegravir ,bictegravir,https://bnf.nice.org.uk/interaction/bictegravir.html,#bictegravir .interactant span
bilastine-2.html, Bilastine ,bilastine-2,https://bnf.nice.org.uk/interaction/bilastine-2.html,#bilastine-2 .interactant span
bisoprolol.html, Bisoprolol ,bisoprolol,https://bnf.nice.org.uk/interaction/bisoprolol.html,#bisoprolol .interactant span
bivalirudin-2.html, Bivalirudin ,bivalirudin-2,https://bnf.nice.org.uk/interaction/bivalirudin-2.html,#bivalirudin-2 .interactant span
bleomycin-2.html, Bleomycin ,bleomycin-2,https://bnf.nice.org.uk/interaction/bleomycin-2.html,#bleomycin-2 .interactant span
blinatumomab-2.html, Blinatumomab ,blinatumomab-2,https://bnf.nice.org.uk/interaction/blinatumomab-2.html,#blinatumomab-2 .interactant span
bortezomib-2.html, Bortezomib ,bortezomib-2,https://bnf.nice.org.uk/interaction/bortezomib-2.html,#bortezomib-2 .interactant span
bosentan-2.html, Bosentan ,bosentan-2,https://bnf.nice.org.uk/interaction/bosentan-2.html,#bosentan-2 .interactant span
bosutinib-2.html, Bosutinib ,bosutinib-2,https://bnf.nice.org.uk/interaction/bosutinib-2.html,#bosutinib-2 .interactant span
botulinum-toxin-type-a-2.html, Botulinum toxin type A ,botulinum-toxin-type-a-2,https://bnf.nice.org.uk/interaction/botulinum-toxin-type-a-2.html,#botulinum-toxin-type-a-2 .interactant span
botulinum-toxin-type-b-2.html, Botulinum toxin type B ,botulinum-toxin-type-b-2,https://bnf.nice.org.uk/interaction/botulinum-toxin-type-b-2.html,#botulinum-toxin-type-b-2 .interactant span
brentuximab-vedotin-2.html, Brentuximab vedotin ,brentuximab-vedotin-2,https://bnf.nice.org.uk/interaction/brentuximab-vedotin-2.html,#brentuximab-vedotin-2 .interactant span
brimonidine.html, Brimonidine ,brimonidine,https://bnf.nice.org.uk/interaction/brimonidine.html,#brimonidine .interactant span
brivaracetam-2.html, Brivaracetam ,brivaracetam-2,https://bnf.nice.org.uk/interaction/brivaracetam-2.html,#brivaracetam-2 .interactant span
brodalumab-2.html, Brodalumab ,brodalumab-2,https://bnf.nice.org.uk/interaction/brodalumab-2.html,#brodalumab-2 .interactant span
bromfenac-2.html, Bromfenac ,bromfenac-2,https://bnf.nice.org.uk/interaction/bromfenac-2.html,#bromfenac-2 .interactant span
bromocriptine-2.html, Bromocriptine ,bromocriptine-2,https://bnf.nice.org.uk/interaction/bromocriptine-2.html,#bromocriptine-2 .interactant span
buclizine.html, Buclizine ,buclizine,https://bnf.nice.org.uk/interaction/buclizine.html,#buclizine .interactant span
budesonide-2.html, Budesonide ,budesonide-2,https://bnf.nice.org.uk/interaction/budesonide-2.html,#budesonide-2 .interactant span
bumetanide-2.html, Bumetanide ,bumetanide-2,https://bnf.nice.org.uk/interaction/bumetanide-2.html,#bumetanide-2 .interactant span
bupivacaine.html, Bupivacaine ,bupivacaine,https://bnf.nice.org.uk/interaction/bupivacaine.html,#bupivacaine .interactant span
buprenorphine-2.html, Buprenorphine ,buprenorphine-2,https://bnf.nice.org.uk/interaction/buprenorphine-2.html,#buprenorphine-2 .interactant span
bupropion.html, Bupropion ,bupropion,https://bnf.nice.org.uk/interaction/bupropion.html,#bupropion .interactant span
buspirone.html, Buspirone ,buspirone,https://bnf.nice.org.uk/interaction/buspirone.html,#buspirone .interactant span
busulfan-2.html, Busulfan ,busulfan-2,https://bnf.nice.org.uk/interaction/busulfan-2.html,#busulfan-2 .interactant span
cabazitaxel-2.html, Cabazitaxel ,cabazitaxel-2,https://bnf.nice.org.uk/interaction/cabazitaxel-2.html,#cabazitaxel-2 .interactant span
cabergoline-2.html, Cabergoline ,cabergoline-2,https://bnf.nice.org.uk/interaction/cabergoline-2.html,#cabergoline-2 .interactant span
cabozantinib-2.html, Cabozantinib ,cabozantinib-2,https://bnf.nice.org.uk/interaction/cabozantinib-2.html,#cabozantinib-2 .interactant span
caffeine-citrate.html, Caffeine citrate ,caffeine-citrate,https://bnf.nice.org.uk/interaction/caffeine-citrate.html,#caffeine-citrate .interactant span
calcipotriol-2.html, Calcipotriol ,calcipotriol-2,https://bnf.nice.org.uk/interaction/calcipotriol-2.html,#calcipotriol-2 .interactant span
calcitonin-salmon-2.html, Calcitonin (salmon) ,calcitonin-salmon-2,https://bnf.nice.org.uk/interaction/calcitonin-salmon-2.html,#calcitonin-salmon-2 .interactant span
calcitriol-2.html, Calcitriol ,calcitriol-2,https://bnf.nice.org.uk/interaction/calcitriol-2.html,#calcitriol-2 .interactant span
calcium-acetate-2.html, Calcium acetate ,calcium-acetate-2,https://bnf.nice.org.uk/interaction/calcium-acetate-2.html,#calcium-acetate-2 .interactant span
calcium-carbonate-2.html, Calcium carbonate ,calcium-carbonate-2,https://bnf.nice.org.uk/interaction/calcium-carbonate-2.html,#calcium-carbonate-2 .interactant span
calcium-chloride-2.html, Calcium chloride ,calcium-chloride-2,https://bnf.nice.org.uk/interaction/calcium-chloride-2.html,#calcium-chloride-2 .interactant span
calcium-gluconate-2.html, Calcium gluconate ,calcium-gluconate-2,https://bnf.nice.org.uk/interaction/calcium-gluconate-2.html,#calcium-gluconate-2 .interactant span
calcium-lactate-2.html, Calcium lactate ,calcium-lactate-2,https://bnf.nice.org.uk/interaction/calcium-lactate-2.html,#calcium-lactate-2 .interactant span
calcium-phosphate-2.html, Calcium phosphate ,calcium-phosphate-2,https://bnf.nice.org.uk/interaction/calcium-phosphate-2.html,#calcium-phosphate-2 .interactant span
canagliflozin-2.html, Canagliflozin ,canagliflozin-2,https://bnf.nice.org.uk/interaction/canagliflozin-2.html,#canagliflozin-2 .interactant span
canakinumab-2.html, Canakinumab ,canakinumab-2,https://bnf.nice.org.uk/interaction/canakinumab-2.html,#canakinumab-2 .interactant span
candesartan.html, Candesartan ,candesartan,https://bnf.nice.org.uk/interaction/candesartan.html,#candesartan .interactant span
cangrelor-2.html, Cangrelor ,cangrelor-2,https://bnf.nice.org.uk/interaction/cangrelor-2.html,#cangrelor-2 .interactant span
cannabis-extract-2.html, Cannabis extract ,cannabis-extract-2,https://bnf.nice.org.uk/interaction/cannabis-extract-2.html,#cannabis-extract-2 .interactant span
capecitabine-2.html, Capecitabine ,capecitabine-2,https://bnf.nice.org.uk/interaction/capecitabine-2.html,#capecitabine-2 .interactant span
capreomycin-2.html, Capreomycin ,capreomycin-2,https://bnf.nice.org.uk/interaction/capreomycin-2.html,#capreomycin-2 .interactant span
captopril-2.html, Captopril ,captopril-2,https://bnf.nice.org.uk/interaction/captopril-2.html,#captopril-2 .interactant span
carbamazepine-2.html, Carbamazepine ,carbamazepine-2,https://bnf.nice.org.uk/interaction/carbamazepine-2.html,#carbamazepine-2 .interactant span
carbidopa.html, Carbidopa ,carbidopa,https://bnf.nice.org.uk/interaction/carbidopa.html,#carbidopa .interactant span
carbimazole-2.html, Carbimazole ,carbimazole-2,https://bnf.nice.org.uk/interaction/carbimazole-2.html,#carbimazole-2 .interactant span
carboplatin-2.html, Carboplatin ,carboplatin-2,https://bnf.nice.org.uk/interaction/carboplatin-2.html,#carboplatin-2 .interactant span
carfilzomib-2.html, Carfilzomib ,carfilzomib-2,https://bnf.nice.org.uk/interaction/carfilzomib-2.html,#carfilzomib-2 .interactant span
carmustine-2.html, Carmustine ,carmustine-2,https://bnf.nice.org.uk/interaction/carmustine-2.html,#carmustine-2 .interactant span
carvedilol-2.html, Carvedilol ,carvedilol-2,https://bnf.nice.org.uk/interaction/carvedilol-2.html,#carvedilol-2 .interactant span
caspofungin-2.html, Caspofungin ,caspofungin-2,https://bnf.nice.org.uk/interaction/caspofungin-2.html,#caspofungin-2 .interactant span
cefaclor-2.html, Cefaclor ,cefaclor-2,https://bnf.nice.org.uk/interaction/cefaclor-2.html,#cefaclor-2 .interactant span
cefadroxil-2.html, Cefadroxil ,cefadroxil-2,https://bnf.nice.org.uk/interaction/cefadroxil-2.html,#cefadroxil-2 .interactant span
cefalexin-2.html, Cefalexin ,cefalexin-2,https://bnf.nice.org.uk/interaction/cefalexin-2.html,#cefalexin-2 .interactant span
cefixime-2.html, Cefixime ,cefixime-2,https://bnf.nice.org.uk/interaction/cefixime-2.html,#cefixime-2 .interactant span
cefotaxime-2.html, Cefotaxime ,cefotaxime-2,https://bnf.nice.org.uk/interaction/cefotaxime-2.html,#cefotaxime-2 .interactant span
cefradine-2.html, Cefradine ,cefradine-2,https://bnf.nice.org.uk/interaction/cefradine-2.html,#cefradine-2 .interactant span
ceftaroline.html, Ceftaroline ,ceftaroline,https://bnf.nice.org.uk/interaction/ceftaroline.html,#ceftaroline .interactant span
ceftazidime-2.html, Ceftazidime ,ceftazidime-2,https://bnf.nice.org.uk/interaction/ceftazidime-2.html,#ceftazidime-2 .interactant span
ceftobiprole-2.html, Ceftobiprole ,ceftobiprole-2,https://bnf.nice.org.uk/interaction/ceftobiprole-2.html,#ceftobiprole-2 .interactant span
ceftolozane.html, Ceftolozane ,ceftolozane,https://bnf.nice.org.uk/interaction/ceftolozane.html,#ceftolozane .interactant span
ceftriaxone-2.html, Ceftriaxone ,ceftriaxone-2,https://bnf.nice.org.uk/interaction/ceftriaxone-2.html,#ceftriaxone-2 .interactant span
cefuroxime-2.html, Cefuroxime ,cefuroxime-2,https://bnf.nice.org.uk/interaction/cefuroxime-2.html,#cefuroxime-2 .interactant span
celecoxib-2.html, Celecoxib ,celecoxib-2,https://bnf.nice.org.uk/interaction/celecoxib-2.html,#celecoxib-2 .interactant span
celiprolol.html, Celiprolol ,celiprolol,https://bnf.nice.org.uk/interaction/celiprolol.html,#celiprolol .interactant span
ceritinib-2.html, Ceritinib ,ceritinib-2,https://bnf.nice.org.uk/interaction/ceritinib-2.html,#ceritinib-2 .interactant span
certolizumab-pegol-2.html, Certolizumab pegol ,certolizumab-pegol-2,https://bnf.nice.org.uk/interaction/certolizumab-pegol-2.html,#certolizumab-pegol-2 .interactant span
cetirizine.html, Cetirizine ,cetirizine,https://bnf.nice.org.uk/interaction/cetirizine.html,#cetirizine .interactant span
cetuximab-2.html, Cetuximab ,cetuximab-2,https://bnf.nice.org.uk/interaction/cetuximab-2.html,#cetuximab-2 .interactant span
chenodeoxycholic-acid-2.html, Chenodeoxycholic acid ,chenodeoxycholic-acid-2,https://bnf.nice.org.uk/interaction/chenodeoxycholic-acid-2.html,#chenodeoxycholic-acid-2 .interactant span
chloral-hydrate-2.html, Chloral hydrate ,chloral-hydrate-2,https://bnf.nice.org.uk/interaction/chloral-hydrate-2.html,#chloral-hydrate-2 .interactant span
chlorambucil-2.html, Chlorambucil ,chlorambucil-2,https://bnf.nice.org.uk/interaction/chlorambucil-2.html,#chlorambucil-2 .interactant span
chloramphenicol-2.html, Chloramphenicol ,chloramphenicol-2,https://bnf.nice.org.uk/interaction/chloramphenicol-2.html,#chloramphenicol-2 .interactant span
chlordiazepoxide.html, Chlordiazepoxide ,chlordiazepoxide,https://bnf.nice.org.uk/interaction/chlordiazepoxide.html,#chlordiazepoxide .interactant span
chloroquine-2.html, Chloroquine ,chloroquine-2,https://bnf.nice.org.uk/interaction/chloroquine-2.html,#chloroquine-2 .interactant span
chlorothiazide.html, Chlorothiazide ,chlorothiazide,https://bnf.nice.org.uk/interaction/chlorothiazide.html,#chlorothiazide .interactant span
